original_order,pattern,item_id
244,AAABAAAB,26365
242,AAABAAAB,39593
165,AAABAAAB,41504
6,AAABAAAB,52387
3,AAABAAAB,53558
169,AAABAAAB,65002
241,AAABAAAB,66922
166,AAABAAAB,79967
84,AAABAAAB,99295
245,AAABAAAB,109594
162,AAABAAAB,121039
4,AAABAAAB,144856
328,AAABAAAB,145042
163,AAABAAAB,149504
160,AAABAAAB,174428
161,AAABAAAB,186482
167,AAABAAAB,186569
168,AAABAAAB,192496
247,AAABAAAB,199319
248,AAABAAAB,204577
1,AAABAAAB,240932
320,AAABAAAB,248093
329,AAABAAAB,258693
80,AAABAAAB,287334
7,AAABAAAB,319763
85,AAABAAAB,320383
324,AAABAAAB,329857
8,AAABAAAB,331116
322,AAABAAAB,333697
240,AAABAAAB,344825
86,AAABAAAB,351314
83,AAABAAAB,371183
243,AAABAAAB,383532
327,AAABAAAB,393645
82,AAABAAAB,426590
323,AAABAAAB,459398
87,AAABAAAB,486471
88,AAABAAAB,503017
249,AAABAAAB,518433
326,AAABAAAB,519123
321,AAABAAAB,523340
81,AAABAAAB,526746
325,AAABAAAB,574364
2,AAABAAAB,586430
89,AAABAAAB,614371
0,AAABAAAB,616967
9,AAABAAAB,621708
5,AAABAAAB,634633
246,AAABAAAB,649008
164,AAABAAAB,661251
12,ABABCDCD,5382
335,ABABCDCD,5775
331,ABABCDCD,36668
338,ABABCDCD,39824
10,ABABCDCD,56736
336,ABABCDCD,62421
95,ABABCDCD,84838
14,ABABCDCD,106106
92,ABABCDCD,136211
333,ABABCDCD,179729
96,ABABCDCD,182672
255,ABABCDCD,194522
174,ABABCDCD,203556
97,ABABCDCD,205194
93,ABABCDCD,209201
19,ABABCDCD,222639
171,ABABCDCD,237967
170,ABABCDCD,249626
15,ABABCDCD,289049
252,ABABCDCD,291646
11,ABABCDCD,307766
332,ABABCDCD,312333
257,ABABCDCD,319135
173,ABABCDCD,322715
99,ABABCDCD,323159
339,ABABCDCD,330420
172,ABABCDCD,333424
258,ABABCDCD,345290
179,ABABCDCD,367454
334,ABABCDCD,370861
177,ABABCDCD,375805
176,ABABCDCD,381315
17,ABABCDCD,389898
98,ABABCDCD,404825
178,ABABCDCD,436054
18,ABABCDCD,455985
337,ABABCDCD,470521
13,ABABCDCD,484994
91,ABABCDCD,490239
175,ABABCDCD,504786
256,ABABCDCD,521898
254,ABABCDCD,522133
94,ABABCDCD,551809
16,ABABCDCD,558010
330,ABABCDCD,564555
251,ABABCDCD,598597
253,ABABCDCD,638571
250,ABABCDCD,639197
259,ABABCDCD,649877
90,ABABCDCD,661973
261,ABBAABBA,69206
346,ABBAABBA,74093
263,ABBAABBA,75229
20,ABBAABBA,76459
22,ABBAABBA,81334
341,ABBAABBA,83025
340,ABBAABBA,91101
349,ABBAABBA,91641
106,ABBAABBA,100684
269,ABBAABBA,124927
25,ABBAABBA,134045
183,ABBAABBA,137452
189,ABBAABBA,139741
24,ABBAABBA,154863
342,ABBAABBA,162441
266,ABBAABBA,175843
109,ABBAABBA,179874
28,ABBAABBA,196612
100,ABBAABBA,239155
260,ABBAABBA,253203
107,ABBAABBA,253851
187,ABBAABBA,281251
184,ABBAABBA,284166
347,ABBAABBA,321829
181,ABBAABBA,322302
27,ABBAABBA,323333
345,ABBAABBA,327699
348,ABBAABBA,328569
26,ABBAABBA,331497
180,ABBAABBA,340704
186,ABBAABBA,348928
103,ABBAABBA,380466
104,ABBAABBA,400949
108,ABBAABBA,406279
182,ABBAABBA,427852
188,ABBAABBA,486117
343,ABBAABBA,495006
105,ABBAABBA,516999
23,ABBAABBA,527115
264,ABBAABBA,553220
262,ABBAABBA,558075
21,ABBAABBA,563954
185,ABBAABBA,565511
344,ABBAABBA,566773
265,ABBAABBA,569946
268,ABBAABBA,622435
29,ABBAABBA,629713
101,ABBAABBA,631512
267,ABBAABBA,657041
102,ABBAABBA,660370
33,ABBACDDC,11493
350,ABBACDDC,14310
354,ABBACDDC,24157
199,ABBACDDC,31291
32,ABBACDDC,42780
