item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
248093,wheat,wheat,wheat,bell,wheat,wheat,wheat,bell,star,wheat,bell,smile,bell,7,50164723,1230,AAABAAAB,experiment
523340,sun,sun,sun,truck,sun,sun,sun,truck,truck,helicopter,sun,star,truck,7,46705213,0213,AAABAAAB,experiment
333697,bulb,bulb,bulb,truck,bulb,bulb,bulb,truck,truck,pyramid,guitar,bulb,truck,7,37462105,1320,AAABAAAB,experiment
459398,hammer,hammer,hammer,guitar,hammer,hammer,hammer,guitar,guitar,heart,hammer,truck,guitar,7,72013546,3210,AAABAAAB,experiment
329857,hammer,hammer,hammer,helicopter,hammer,hammer,hammer,helicopter,guitar,helicopter,bell,hammer,helicopter,7,27046531,1023,AAABAAAB,experiment
574364,cube,cube,cube,key,cube,cube,cube,key,key,pyramid,helicopter,cube,key,7,43610572,0132,AAABAAAB,experiment
519123,helicopter,helicopter,helicopter,bulb,helicopter,helicopter,helicopter,bulb,star,bulb,helicopter,wheat,bulb,7,51246370,2103,AAABAAAB,experiment
393645,cube,cube,cube,heart,cube,cube,cube,heart,eye,truck,cube,heart,heart,7,51230467,1320,AAABAAAB,experiment
145042,carrot,carrot,carrot,sun,carrot,carrot,carrot,sun,hammer,sun,key,carrot,sun,7,72163405,2301,AAABAAAB,experiment
258693,sun,sun,sun,star,sun,sun,sun,star,smile,eye,sun,star,star,7,43672015,3210,AAABAAAB,experiment
564555,sun,pyramid,sun,pyramid,star,eye,star,eye,eye,sun,star,pyramid,eye,7,37456012,0132,ABABCDCD,experiment
36668,heart,key,heart,key,sun,guitar,sun,guitar,sun,key,heart,guitar,guitar,7,50264317,2103,ABABCDCD,experiment
312333,truck,carrot,truck,carrot,smile,heart,smile,heart,truck,heart,carrot,smile,heart,7,25147360,1320,ABABCDCD,experiment
179729,key,helicopter,key,helicopter,cube,star,cube,star,helicopter,cube,key,star,star,7,71345260,2013,ABABCDCD,experiment
370861,bell,key,bell,key,cube,truck,cube,truck,key,bell,truck,cube,truck,7,54273061,1032,ABABCDCD,experiment
5775,helicopter,pyramid,helicopter,pyramid,wheat,sun,wheat,sun,helicopter,wheat,sun,pyramid,sun,7,25013764,1203,ABABCDCD,experiment
62421,eye,bell,eye,bell,sun,heart,sun,heart,sun,eye,heart,bell,heart,7,03725164,1203,ABABCDCD,experiment
