item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
144856,rthae,rthae,rthae,lbbu,rthae,rthae,rthae,lbbu,rthae,yke,lbbu,misle,lbbu,7,74021536,3201,AAABAAAB,experiment
106106,atrs,yke,atrs,yke,misle,yiapdmr,misle,yiapdmr,atrs,misle,yiapdmr,yke,yiapdmr,7,60231574,2130,ABABCDCD,experiment
222639,misle,olrecihpet,misle,olrecihpet,hteaw,rtrcao,hteaw,rtrcao,hteaw,rtrcao,misle,olrecihpet,rtrcao,7,13702465,3012,ABABCDCD,experiment
331497,uns,rthae,rthae,uns,uns,rthae,rthae,uns,uns,olrecihpet,rthae,eey,uns,7,63127450,2130,ABBAABBA,experiment
605684,lebl,atrs,atrs,lebl,ecbu,hteaw,hteaw,ecbu,ecbu,lebl,hteaw,atrs,ecbu,7,71304625,3201,ABBACDDC,experiment
314343,hteaw,rthae,olrecihpet,hteaw,hteaw,rthae,olrecihpet,hteaw,hteaw,olrecihpet,yke,rthae,hteaw,7,36125704,3012,ABCAABCA,experiment
422173,atrs,yiapdmr,olrecihpet,haremm,haremm,olrecihpet,yiapdmr,atrs,yiapdmr,haremm,atrs,olrecihpet,atrs,7,23014657,1203,ABCDDCBA,experiment
40398,atrs,haremm,olrecihpet,rtrcao,rukct,rukct,rtrcao,olrecihpet,haremm,rukct,atrs,olrecihpet,olrecihpet,7,51463702,3201,ABCDEEDC,experiment
428986,rthae,yiapdmr,yiapdmr,rthae,olrecihpet,rtrcao,rtrcao,olrecihpet,olrecihpet,yiapdmr,rtrcao,rthae,olrecihpet,7,43251076,321,ABBACDDC,experiment
530102,rukct,eey,eey,rtrcao,rukct,eey,eey,rtrcao,rukct,eey,rtrcao,olrecihpet,rtrcao,7,36507241,132,ABBCABBC,experiment
75115,yke,rtrcao,eey,yke,yke,rtrcao,eey,yke,ecbu,yke,rtrcao,eey,yke,7,41062573,2310,ABCAABCA,experiment
508011,yke,rtrcao,uns,rukct,rukct,uns,rtrcao,yke,yke,rtrcao,rukct,uns,yke,7,6253147,2310,ABCDDCBA,experiment
127940,eey,yiapdmr,ecbu,atrs,yke,yke,atrs,ecbu,yke,yiapdmr,ecbu,atrs,ecbu,7,12340657,1203,ABCDEEDC,experiment
526746,rukct,rukct,rukct,rtrcao,rukct,rukct,rukct,rtrcao,rtrcao,lebl,rukct,atrs,rtrcao,7,46017235,3201,AAABAAAB,experiment
182672,lebl,turaig,lebl,turaig,haremm,uns,haremm,uns,haremm,lebl,turaig,uns,uns,7,61073452,3210,ABABCDCD,experiment
516999,yiapdmr,misle,misle,yiapdmr,yiapdmr,misle,misle,yiapdmr,yiapdmr,uns,misle,rthae,yiapdmr,7,75012463,1032,ABBAABBA,experiment
523134,hteaw,rukct,rukct,eey,hteaw,rukct,rukct,eey,misle,rukct,eey,hteaw,eey,7,64103752,1023,ABBCABBC,experiment
537022,rthae,yiapdmr,yiapdmr,olrecihpet,rthae,yiapdmr,yiapdmr,olrecihpet,olrecihpet,yiapdmr,hteaw,rthae,olrecihpet,7,64510372,3021,ABBCABBC,experiment
634897,yke,haremm,haremm,turaig,yke,haremm,haremm,turaig,haremm,olrecihpet,yke,turaig,turaig,7,31540627,2301,ABBCABBC,experiment
333697,lbbu,lbbu,lbbu,rukct,lbbu,lbbu,lbbu,rukct,rukct,yiapdmr,turaig,lbbu,rukct,7,37462105,1320,AAABAAAB,experiment
393645,ecbu,ecbu,ecbu,rthae,ecbu,ecbu,ecbu,rthae,eey,rukct,ecbu,rthae,rthae,7,51230467,1320,AAABAAAB,experiment
312333,rukct,rtrcao,rukct,rtrcao,misle,rthae,misle,rthae,rukct,rthae,rtrcao,misle,rthae,7,25147360,1320,ABABCDCD,experiment
495006,atrs,rthae,rthae,atrs,atrs,rthae,rthae,atrs,rthae,atrs,rukct,haremm,atrs,7,64310275,1320,ABBAABBA,experiment
321829,haremm,yiapdmr,yiapdmr,haremm,haremm,yiapdmr,yiapdmr,haremm,haremm,atrs,eey,yiapdmr,haremm,7,75146230,132,ABBAABBA,experiment
100759,yke,yiapdmr,yiapdmr,yke,rukct,turaig,turaig,rukct,rukct,yiapdmr,turaig,yke,rukct,7,54761320,3210,ABBACDDC,experiment
167465,hteaw,rthae,lebl,turaig,turaig,lebl,rthae,hteaw,hteaw,turaig,rthae,lebl,hteaw,7,20576314,1230,ABCDDCBA,experiment
112347,rukct,misle,yiapdmr,turaig,uns,uns,turaig,yiapdmr,turaig,rukct,yiapdmr,misle,yiapdmr,7,62410537,3201,ABCDEEDC,experiment
613040,turaig,uns,uns,turaig,yiapdmr,atrs,atrs,yiapdmr,uns,turaig,atrs,yiapdmr,yiapdmr,7,46701235,3012,ABBACDDC,experiment
331726,yke,rtrcao,rukct,yke,yke,rtrcao,rukct,yke,rukct,lbbu,yke,rtrcao,yke,7,2365714,1032,ABCAABCA,experiment
457338,hteaw,rukct,eey,hteaw,hteaw,rukct,eey,hteaw,rukct,atrs,eey,hteaw,hteaw,7,62715340,231,ABCAABCA,experiment
588100,olrecihpet,rtrcao,uns,yiapdmr,yiapdmr,uns,rtrcao,olrecihpet,olrecihpet,rtrcao,yiapdmr,uns,olrecihpet,7,65237104,1203,ABCDDCBA,experiment
505015,haremm,turaig,lebl,hteaw,yiapdmr,yiapdmr,hteaw,lebl,lebl,turaig,yiapdmr,hteaw,lebl,7,1742653,213,ABCDEEDC,experiment
144856,rthae,rthae,rthae,lbbu,rthae,rthae,rthae,lbbu,lbbu,yiapdmr,rthae,haremm,rthae,0,74021536,3201,AAABAAAB,experiment
106106,atrs,yke,atrs,yke,misle,yiapdmr,misle,yiapdmr,atrs,yke,yiapdmr,misle,atrs,0,60231574,2130,ABABCDCD,experiment
222639,misle,olrecihpet,misle,olrecihpet,hteaw,rtrcao,hteaw,rtrcao,hteaw,rtrcao,misle,olrecihpet,misle,0,13702465,3012,ABABCDCD,experiment
331497,uns,rthae,rthae,uns,uns,rthae,rthae,uns,rthae,rukct,uns,yiapdmr,uns,0,63127450,2130,ABBAABBA,experiment
605684,lebl,atrs,atrs,lebl,ecbu,hteaw,hteaw,ecbu,lebl,hteaw,atrs,ecbu,lebl,0,71304625,3201,ABBACDDC,experiment
314343,hteaw,rthae,olrecihpet,hteaw,hteaw,rthae,olrecihpet,hteaw,haremm,rthae,hteaw,olrecihpet,hteaw,0,36125704,3012,ABCAABCA,experiment
422173,atrs,yiapdmr,olrecihpet,haremm,haremm,olrecihpet,yiapdmr,atrs,olrecihpet,haremm,atrs,yiapdmr,atrs,0,23014657,1203,ABCDDCBA,experiment
40398,atrs,haremm,olrecihpet,rtrcao,rukct,rukct,rtrcao,olrecihpet,olrecihpet,atrs,rukct,haremm,atrs,0,51463702,3201,ABCDEEDC,experiment
428986,rthae,yiapdmr,yiapdmr,rthae,olrecihpet,rtrcao,rtrcao,olrecihpet,yiapdmr,rtrcao,olrecihpet,rthae,rthae,0,43251076,321,ABBACDDC,experiment
530102,rukct,eey,eey,rtrcao,rukct,eey,eey,rtrcao,eey,ecbu,rukct,rtrcao,rukct,0,36507241,132,ABBCABBC,experiment
75115,yke,rtrcao,eey,yke,yke,rtrcao,eey,yke,yke,rthae,rtrcao,eey,yke,0,41062573,2310,ABCAABCA,experiment
508011,yke,rtrcao,uns,rukct,rukct,uns,rtrcao,yke,rukct,uns,yke,rtrcao,yke,0,6253147,2310,ABCDDCBA,experiment
127940,eey,yiapdmr,ecbu,atrs,yke,yke,atrs,ecbu,yiapdmr,eey,ecbu,atrs,eey,0,12340657,1203,ABCDEEDC,experiment
526746,rukct,rukct,rukct,rtrcao,rukct,rukct,rukct,rtrcao,rukct,olrecihpet,rtrcao,misle,rukct,0,46017235,3201,AAABAAAB,experiment
182672,lebl,turaig,lebl,turaig,haremm,uns,haremm,uns,haremm,lebl,uns,turaig,lebl,0,61073452,3210,ABABCDCD,experiment
516999,yiapdmr,misle,misle,yiapdmr,yiapdmr,misle,misle,yiapdmr,yiapdmr,misle,uns,rthae,yiapdmr,0,75012463,1032,ABBAABBA,experiment
523134,hteaw,rukct,rukct,eey,hteaw,rukct,rukct,eey,rukct,ecbu,eey,hteaw,hteaw,0,64103752,1023,ABBCABBC,experiment
537022,rthae,yiapdmr,yiapdmr,olrecihpet,rthae,yiapdmr,yiapdmr,olrecihpet,olrecihpet,yiapdmr,rthae,haremm,rthae,0,64510372,3021,ABBCABBC,experiment
634897,yke,haremm,haremm,turaig,yke,haremm,haremm,turaig,haremm,turaig,yke,misle,yke,0,31540627,2301,ABBCABBC,experiment
333697,lbbu,lbbu,lbbu,rukct,lbbu,lbbu,lbbu,rukct,uns,rukct,atrs,lbbu,lbbu,0,37462105,1320,AAABAAAB,experiment
393645,ecbu,ecbu,ecbu,rthae,ecbu,ecbu,ecbu,rthae,rthae,ecbu,yke,lebl,ecbu,0,51230467,1320,AAABAAAB,experiment
312333,rukct,rtrcao,rukct,rtrcao,misle,rthae,misle,rthae,rtrcao,misle,rthae,rukct,rukct,0,25147360,1320,ABABCDCD,experiment
