combinationID,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,maskedImgIdx,seq_order,choice_order,pattern
59488809,5,5,5,5,5,5,5,5,59,5,28,34,3,07265143,1302,AAAAAAAA
60384674,52,52,52,52,52,52,52,52,52,18,27,35,3,54702163,3102,AAAAAAAA
44655768,10,10,10,10,10,10,10,10,28,35,10,34,3,45207163,1203,AAAAAAAA
60092299,30,30,30,30,30,30,30,30,10,27,30,35,3,01674523,0132,AAAAAAAA
52900202,28,28,28,28,28,28,28,28,18,9,52,28,3,12475603,3210,AAAAAAAA
57944587,27,27,27,27,27,27,27,27,34,27,10,20,4,50361274,1302,AAAAAAAA
45102777,30,30,30,9,30,30,30,9,9,28,18,30,4,01537264,2130,AAABAAAB
58823970,5,5,5,10,5,5,5,10,5,20,10,34,3,40271563,2310,AAABAAAB
44002725,9,9,9,27,9,9,9,27,34,9,5,27,7,35412607,2013,AAABAAAB
55460355,18,18,18,35,18,18,18,35,35,10,20,18,3,14056723,2103,AAABAAAB
60797956,34,34,34,28,34,34,34,28,34,27,28,52,4,56301274,1230,AAABAAAB
58680328,9,9,9,59,9,9,9,59,9,59,10,18,4,13502674,3012,AAABAAAB
52002106,9,9,28,28,9,9,28,28,52,28,27,9,3,26157043,1320,AABBAABB
55000278,9,9,18,18,9,9,18,18,28,18,9,5,4,13675024,1302,AABBAABB
51331592,52,52,28,28,52,52,28,28,27,52,28,10,7,03421567,0123,AABBAABB
43185840,34,34,59,59,34,34,59,59,34,27,59,52,0,37124560,0321,AABBAABB
58813820,18,18,10,10,18,18,10,10,27,35,10,18,3,54610273,0231,AABBAABB
51012947,10,10,20,20,10,10,20,20,20,10,30,28,4,60521734,0123,AABBAABB
52522088,18,18,52,52,5,5,59,59,52,18,59,5,0,23651470,0231,AABBCCDD
42309027,27,27,59,59,20,20,34,34,27,59,34,20,7,45310267,0123,AABBCCDD
42532600,9,9,30,30,10,10,34,34,10,9,30,34,3,71246503,3201,AABBCCDD
46313480,5,5,34,34,35,35,30,30,5,35,34,30,0,14263570,0321,AABBCCDD
45952161,28,28,18,18,20,20,59,59,20,28,18,59,0,45621730,1302,AABBCCDD
62355374,52,52,30,30,34,34,28,28,28,34,52,30,7,20563147,2013,AABBCCDD
60571780,52,52,59,27,52,52,59,27,5,59,52,27,3,56407123,0213,AABCAABC
51855235,30,30,20,10,30,30,20,10,20,34,30,10,4,65710324,2013,AABCAABC
51591980,35,35,18,30,35,35,18,30,30,10,18,35,4,32165704,2310,AABCAABC
44907709,5,5,30,10,5,5,30,10,28,5,10,30,4,12570634,1320,AABCAABC
44353759,34,34,52,5,34,34,52,5,5,52,34,10,7,50421367,0213,AABCAABC
50153068,59,59,27,34,59,59,27,34,59,34,35,27,3,07524163,0213,AABCAABC
58276447,27,34,27,34,27,34,27,34,27,28,59,34,0,71253640,0123,ABABABAB
60666571,20,35,20,35,20,35,20,35,9,30,20,35,7,15326407,0123,ABABABAB
58322037,9,10,9,10,9,10,9,10,28,10,9,5,7,62135407,2103,ABABABAB
54118657,35,27,35,27,35,27,35,27,27,28,35,18,0,17254360,0132,ABABABAB
60269111,20,27,20,27,20,27,20,27,20,30,28,27,4,62731054,1203,ABABABAB
50173697,28,9,28,9,28,9,28,9,9,59,28,30,4,71235604,2013,ABABABAB
53400896,18,52,18,52,59,35,59,35,18,52,35,59,0,16543720,3201,ABABCDCD
60047167,34,18,34,18,5,9,5,9,5,18,34,9,7,46210537,0321,ABABCDCD
