combinationID,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,maskedImgIdx,seq_order,choice_order,pattern
59488809,bone,bone,bone,bone,bone,bone,bone,bone,wheat,bone,heart,lock,3,07265143,1302,AAAAAAAA
60384674,smile,smile,smile,smile,smile,smile,smile,smile,smile,eye,headphones,megaphone,3,54702163,3102,AAAAAAAA
44655768,camera,camera,camera,camera,camera,camera,camera,camera,heart,megaphone,camera,lock,3,45207163,1203,AAAAAAAA
60092299,home,home,home,home,home,home,home,home,camera,headphones,home,megaphone,3,01674523,0132,AAAAAAAA
52900202,heart,heart,heart,heart,heart,heart,heart,heart,eye,bulb,smile,heart,3,12475603,3210,AAAAAAAA
57944587,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,lock,headphones,camera,gamepad,4,50361274,1302,AAAAAAAA
45102777,home,home,home,bulb,home,home,home,bulb,bulb,heart,eye,home,4,01537264,2130,AAABAAAB
58823970,bone,bone,bone,camera,bone,bone,bone,camera,bone,gamepad,camera,lock,3,40271563,2310,AAABAAAB
44002725,bulb,bulb,bulb,headphones,bulb,bulb,bulb,headphones,lock,bulb,bone,headphones,7,35412607,2013,AAABAAAB
55460355,eye,eye,eye,megaphone,eye,eye,eye,megaphone,megaphone,camera,gamepad,eye,3,14056723,2103,AAABAAAB
60797956,lock,lock,lock,heart,lock,lock,lock,heart,lock,headphones,heart,smile,4,56301274,1230,AAABAAAB
58680328,bulb,bulb,bulb,wheat,bulb,bulb,bulb,wheat,bulb,wheat,camera,eye,4,13502674,3012,AAABAAAB
52002106,bulb,bulb,heart,heart,bulb,bulb,heart,heart,smile,heart,headphones,bulb,3,26157043,1320,AABBAABB
55000278,bulb,bulb,eye,eye,bulb,bulb,eye,eye,heart,eye,bulb,bone,4,13675024,1302,AABBAABB
51331592,smile,smile,heart,heart,smile,smile,heart,heart,headphones,smile,heart,camera,7,03421567,0123,AABBAABB
43185840,lock,lock,wheat,wheat,lock,lock,wheat,wheat,lock,headphones,wheat,smile,0,37124560,0321,AABBAABB
58813820,eye,eye,camera,camera,eye,eye,camera,camera,headphones,megaphone,camera,eye,3,54610273,0231,AABBAABB
