item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
174428,sun,sun,sun,bulb,sun,sun,sun,bulb,sun,smile,bulb,pyramid,bulb,7,04675231,1032,AAABAAAB,experiment
186482,heart,heart,heart,helicopter,heart,heart,heart,helicopter,helicopter,smile,heart,wheat,helicopter,7,70624315,0132,AAABAAAB,experiment
121039,smile,smile,smile,eye,smile,smile,smile,eye,smile,heart,cube,eye,eye,7,15372604,1230,AAABAAAB,experiment
149504,cube,cube,cube,smile,cube,cube,cube,smile,wheat,smile,cube,sun,smile,7,24031756,3102,AAABAAAB,experiment
661251,pyramid,pyramid,pyramid,cube,pyramid,pyramid,pyramid,cube,truck,pyramid,cube,star,cube,7,51204763,3210,AAABAAAB,experiment
41504,sun,sun,sun,heart,sun,sun,sun,heart,sun,heart,bulb,bell,heart,7,12304756,3120,AAABAAAB,experiment
79967,guitar,guitar,guitar,star,guitar,guitar,guitar,star,hammer,guitar,star,smile,star,7,16503724,1203,AAABAAAB,experiment
186569,carrot,carrot,carrot,pyramid,carrot,carrot,carrot,pyramid,carrot,pyramid,wheat,bulb,pyramid,7,41675203,1320,AAABAAAB,experiment
192496,star,star,star,key,star,star,star,key,cube,key,star,smile,key,7,17506432,1230,AAABAAAB,experiment
65002,carrot,carrot,carrot,truck,carrot,carrot,carrot,truck,star,truck,guitar,carrot,truck,7,40357261,3120,AAABAAAB,experiment
249626,truck,cube,truck,cube,bulb,key,bulb,key,cube,bulb,key,truck,key,7,53071624,3210,ABABCDCD,experiment
237967,carrot,bell,carrot,bell,truck,key,truck,key,key,carrot,bell,truck,key,7,43507621,2130,ABABCDCD,experiment
333424,cube,bulb,cube,bulb,key,smile,key,smile,bulb,key,cube,smile,smile,7,70521463,3021,ABABCDCD,experiment
322715,carrot,key,carrot,key,star,cube,star,cube,carrot,key,cube,star,cube,7,05673241,3021,ABABCDCD,experiment
203556,hammer,bulb,hammer,bulb,eye,bell,eye,bell,eye,hammer,bell,bulb,bell,7,10536742,0231,ABABCDCD,experiment
504786,bulb,sun,bulb,sun,cube,hammer,cube,hammer,hammer,cube,sun,bulb,hammer,7,35214760,0321,ABABCDCD,experiment
381315,heart,star,heart,star,bulb,eye,bulb,eye,heart,eye,bulb,star,eye,7,34716205,2103,ABABCDCD,experiment
375805,bulb,wheat,bulb,wheat,helicopter,heart,helicopter,heart,helicopter,heart,wheat,bulb,heart,7,02754136,2130,ABABCDCD,experiment
436054,sun,heart,sun,heart,bell,hammer,bell,hammer,bell,heart,hammer,sun,hammer,7,61753204,2301,ABABCDCD,experiment
367454,wheat,hammer,wheat,hammer,sun,heart,sun,heart,wheat,heart,sun,hammer,heart,7,47613250,1023,ABABCDCD,experiment
340704,star,wheat,wheat,star,star,wheat,wheat,star,star,truck,wheat,key,star,7,72415360,3021,ABBAABBA,experiment
322302,helicopter,eye,eye,helicopter,helicopter,eye,eye,helicopter,helicopter,key,wheat,eye,helicopter,7,36475201,2013,ABBAABBA,experiment
427852,eye,carrot,carrot,eye,eye,carrot,carrot,eye,carrot,bulb,heart,eye,eye,7,31506724,2031,ABBAABBA,experiment
137452,heart,hammer,hammer,heart,heart,hammer,hammer,heart,carrot,hammer,smile,heart,heart,7,64712035,3021,ABBAABBA,experiment
284166,guitar,cube,cube,guitar,guitar,cube,cube,guitar,guitar,cube,carrot,eye,guitar,7,03574162,2310,ABBAABBA,experiment
565511,wheat,sun,sun,wheat,wheat,sun,sun,wheat,wheat,sun,cube,heart,wheat,7,20631745,1230,ABBAABBA,experiment
348928,heart,guitar,guitar,heart,heart,guitar,guitar,heart,star,sun,heart,guitar,heart,7,40351276,3021,ABBAABBA,experiment
281251,bell,heart,heart,bell,bell,heart,heart,bell,carrot,bell,heart,eye,bell,7,71645032,0321,ABBAABBA,experiment
486117,bulb,pyramid,pyramid,bulb,bulb,pyramid,pyramid,bulb,bulb,pyramid,carrot,truck,bulb,7,50316472,3021,ABBAABBA,experiment
139741,eye,wheat,wheat,eye,eye,wheat,wheat,eye,hammer,star,eye,wheat,eye,7,37245016,3120,ABBAABBA,experiment
100520,guitar,carrot,carrot,guitar,truck,key,key,truck,truck,carrot,key,guitar,truck,7,37420156,1023,ABBACDDC,experiment
346037,sun,carrot,carrot,sun,bell,hammer,hammer,bell,bell,carrot,sun,hammer,bell,7,27065314,3201,ABBACDDC,experiment
214851,pyramid,heart,heart,pyramid,cube,star,star,cube,cube,star,heart,pyramid,cube,7,70136245,2310,ABBACDDC,experiment
59333,helicopter,star,star,helicopter,cube,smile,smile,cube,smile,helicopter,star,cube,cube,7,02643175,1230,ABBACDDC,experiment
280481,truck,smile,smile,truck,bell,bulb,bulb,bell,bulb,truck,bell,smile,bell,7,04513627,3102,ABBACDDC,experiment
254436,star,carrot,carrot,star,bulb,eye,eye,bulb,bulb,eye,carrot,star,bulb,7,03746152,2301,ABBACDDC,experiment
593250,guitar,key,key,guitar,star,carrot,carrot,star,carrot,key,star,guitar,star,7,62503741,1320,ABBACDDC,experiment
428986,heart,pyramid,pyramid,heart,helicopter,carrot,carrot,helicopter,helicopter,pyramid,carrot,heart,helicopter,7,43251076,0321,ABBACDDC,experiment
251645,hammer,truck,truck,hammer,cube,key,key,cube,truck,cube,hammer,key,cube,7,73145620,1320,ABBACDDC,experiment
31291,bulb,heart,heart,bulb,pyramid,bell,bell,pyramid,pyramid,bell,heart,bulb,pyramid,7,37164205,3201,ABBACDDC,experiment
311434,pyramid,star,star,bulb,pyramid,star,star,bulb,pyramid,bulb,sun,star,bulb,7,60234571,3120,ABBCABBC,experiment
530102,truck,eye,eye,carrot,truck,eye,eye,carrot,truck,eye,carrot,helicopter,carrot,7,36507241,0132,ABBCABBC,experiment
368576,smile,truck,truck,helicopter,smile,truck,truck,helicopter,pyramid,truck,smile,helicopter,helicopter,7,52634017,0132,ABBCABBC,experiment
39624,helicopter,guitar,guitar,cube,helicopter,guitar,guitar,cube,guitar,helicopter,carrot,cube,cube,7,47631520,0132,ABBCABBC,experiment
134455,eye,star,star,truck,eye,star,star,truck,star,carrot,eye,truck,truck,7,36527140,1230,ABBCABBC,experiment
274549,hammer,truck,truck,key,hammer,truck,truck,key,truck,hammer,key,guitar,key,7,65142730,2013,ABBCABBC,experiment
260557,smile,star,star,guitar,smile,star,star,guitar,star,guitar,smile,bulb,guitar,7,34275160,2013,ABBCABBC,experiment
202108,bell,guitar,guitar,heart,bell,guitar,guitar,heart,heart,guitar,bulb,bell,heart,7,51460723,3012,ABBCABBC,experiment
326552,pyramid,hammer,hammer,smile,pyramid,hammer,hammer,smile,hammer,smile,cube,pyramid,smile,7,47562301,0321,ABBCABBC,experiment
202511,bulb,bell,bell,star,bulb,bell,bell,star,bell,bulb,star,sun,star,7,36512740,3012,ABBCABBC,experiment
336657,truck,cube,bell,truck,truck,cube,bell,truck,sun,bell,truck,cube,truck,7,50746132,2031,ABCAABCA,experiment
340058,hammer,bulb,pyramid,hammer,hammer,bulb,pyramid,hammer,pyramid,sun,bulb,hammer,hammer,7,03456271,2301,ABCAABCA,experiment
252934,key,pyramid,hammer,key,key,pyramid,hammer,key,heart,pyramid,key,hammer,key,7,24530671,1203,ABCAABCA,experiment
75115,key,carrot,eye,key,key,carrot,eye,key,cube,key,carrot,eye,key,7,41062573,2310,ABCAABCA,experiment
186276,bulb,hammer,wheat,bulb,bulb,hammer,wheat,bulb,wheat,bulb,sun,hammer,bulb,7,12074356,1320,ABCAABCA,experiment
448113,key,pyramid,heart,key,key,pyramid,heart,key,heart,pyramid,key,bulb,key,7,41320657,1203,ABCAABCA,experiment
574141,hammer,star,key,hammer,hammer,star,key,hammer,cube,star,key,hammer,hammer,7,17365042,2013,ABCAABCA,experiment
627515,heart,smile,guitar,heart,heart,smile,guitar,heart,guitar,smile,hammer,heart,heart,7,47632105,2103,ABCAABCA,experiment
424895,sun,hammer,bell,sun,sun,hammer,bell,sun,truck,hammer,sun,bell,sun,7,10627435,3012,ABCAABCA,experiment
597323,heart,truck,key,heart,heart,truck,key,heart,eye,key,truck,heart,heart,7,14630752,3201,ABCAABCA,experiment
502012,bulb,cube,eye,carrot,carrot,eye,cube,bulb,cube,bulb,eye,carrot,bulb,7,01263754,3210,ABCDDCBA,experiment
197405,carrot,guitar,wheat,helicopter,helicopter,wheat,guitar,carrot,carrot,helicopter,guitar,wheat,carrot,7,57631402,3201,ABCDDCBA,experiment
270767,bell,heart,eye,hammer,hammer,eye,heart,bell,hammer,heart,bell,eye,bell,7,63457201,2031,ABCDDCBA,experiment
405901,helicopter,guitar,star,bulb,bulb,star,guitar,helicopter,star,guitar,bulb,helicopter,helicopter,7,51603274,2301,ABCDDCBA,experiment
277171,hammer,heart,smile,cube,cube,smile,heart,hammer,hammer,smile,cube,heart,hammer,7,73240615,1023,ABCDDCBA,experiment
608596,sun,cube,smile,wheat,wheat,smile,cube,sun,cube,smile,sun,wheat,sun,7,34017265,2130,ABCDDCBA,experiment
306866,bell,pyramid,sun,cube,cube,sun,pyramid,bell,cube,pyramid,sun,bell,bell,7,53476102,2103,ABCDDCBA,experiment
508011,key,carrot,sun,truck,truck,sun,carrot,key,key,carrot,truck,sun,key,7,06253147,2310,ABCDDCBA,experiment
546490,bulb,key,helicopter,truck,truck,helicopter,key,bulb,bulb,key,helicopter,truck,bulb,7,16702345,0213,ABCDDCBA,experiment
460464,bulb,pyramid,guitar,sun,sun,guitar,pyramid,bulb,sun,pyramid,bulb,guitar,bulb,7,61270534,3012,ABCDDCBA,experiment
100058,wheat,bell,bulb,key,hammer,hammer,key,bulb,key,bulb,bell,hammer,bulb,7,56472301,1320,ABCDEEDC,experiment
409473,eye,star,truck,carrot,bulb,bulb,carrot,truck,truck,bulb,star,carrot,truck,7,75034261,0132,ABCDEEDC,experiment
409131,smile,guitar,helicopter,heart,pyramid,pyramid,heart,helicopter,helicopter,pyramid,guitar,smile,helicopter,7,14023675,0231,ABCDEEDC,experiment
308965,smile,pyramid,sun,cube,hammer,hammer,cube,sun,sun,hammer,smile,cube,sun,7,43260175,3021,ABCDEEDC,experiment
654925,helicopter,guitar,smile,heart,hammer,hammer,heart,smile,smile,hammer,helicopter,guitar,smile,7,72643105,1320,ABCDEEDC,experiment
461786,wheat,bulb,star,heart,helicopter,helicopter,heart,star,star,helicopter,heart,bulb,star,7,35746021,1320,ABCDEEDC,experiment
656687,pyramid,truck,sun,bell,star,star,bell,sun,truck,star,pyramid,sun,sun,7,71620354,0123,ABCDEEDC,experiment
322422,sun,hammer,guitar,truck,cube,cube,truck,guitar,cube,guitar,hammer,sun,guitar,7,71046253,0321,ABCDEEDC,experiment
127940,eye,pyramid,cube,star,key,key,star,cube,key,pyramid,cube,star,cube,7,12340657,1203,ABCDEEDC,experiment
360512,heart,helicopter,star,carrot,guitar,guitar,carrot,star,carrot,star,guitar,helicopter,star,7,52674301,0312,ABCDEEDC,experiment
