itemid,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,masked_idx,solution,choice1,choice2,choice3,choice4,seq_order,choice_order,pattern
57944587,headphones,headphones,headphones,headphones,headphones,headphones,headphones,headphones,7,headphones,lock,headphones,camera,gamepad,'50361274','1302',AAAAAAAA
52900202,heart,heart,heart,heart,heart,heart,heart,heart,7,heart,eye,bulb,smile,heart,'12475603','3210',AAAAAAAA
60384674,smile,smile,smile,smile,smile,smile,smile,smile,7,smile,smile,eye,headphones,megaphone,'54702163','3102',AAAAAAAA
59488809,bone,bone,bone,bone,bone,bone,bone,bone,7,bone,wheat,bone,heart,lock,'07265143','1302',AAAAAAAA
55460355,eye,eye,eye,megaphone,eye,eye,eye,megaphone,7,megaphone,megaphone,camera,gamepad,eye,'14056723','2103',AAABAAAB
58823970,bone,bone,bone,camera,bone,bone,bone,camera,7,camera,bone,gamepad,camera,lock,'40271563','2310',AAABAAAB
58680328,bulb,bulb,bulb,wheat,bulb,bulb,bulb,wheat,7,wheat,bulb,wheat,camera,eye,'13502674','3012',AAABAAAB
60797956,lock,lock,lock,heart,lock,lock,lock,heart,7,heart,lock,headphones,heart,smile,'56301274','1230',AAABAAAB
55000278,bulb,bulb,eye,eye,bulb,bulb,eye,eye,7,eye,heart,eye,bulb,bone,'13675024','1302',AABBAABB
43185840,lock,lock,wheat,wheat,lock,lock,wheat,wheat,7,wheat,lock,headphones,wheat,smile,'37124560','0321',AABBAABB
52002106,bulb,bulb,heart,heart,bulb,bulb,heart,heart,7,heart,smile,heart,headphones,bulb,'26157043','1320',AABBAABB
51012947,camera,camera,gamepad,gamepad,camera,camera,gamepad,gamepad,7,gamepad,gamepad,camera,home,heart,'60521734','0123',AABBAABB
45952161,heart,heart,eye,eye,gamepad,gamepad,wheat,wheat,7,wheat,gamepad,heart,eye,wheat,'45621730','1302',AABBCCDD
42532600,bulb,bulb,home,home,camera,camera,lock,lock,7,lock,camera,bulb,home,lock,'71246503','3201',AABBCCDD
62355374,smile,smile,home,home,lock,lock,heart,heart,7,heart,heart,lock,smile,home,'20563147','2013',AABBCCDD
46313480,bone,bone,lock,lock,megaphone,megaphone,home,home,7,home,bone,megaphone,lock,home,'14263570','0321',AABBCCDD
44907709,bone,bone,home,camera,bone,bone,home,camera,7,camera,heart,bone,camera,home,'12570634','1320',AABCAABC
50153068,wheat,wheat,headphones,lock,wheat,wheat,headphones,lock,7,lock,wheat,lock,megaphone,headphones,'07524163','0213',AABCAABC
60571780,smile,smile,wheat,headphones,smile,smile,wheat,headphones,7,headphones,bone,wheat,smile,headphones,'56407123','0213',AABCAABC
51591980,megaphone,megaphone,eye,home,megaphone,megaphone,eye,home,7,home,home,camera,eye,megaphone,'32165704','2310',AABCAABC
58276447,headphones,lock,headphones,lock,headphones,lock,headphones,lock,7,lock,headphones,heart,wheat,lock,'71253640','0123',ABABABAB
60269111,gamepad,headphones,gamepad,headphones,gamepad,headphones,gamepad,headphones,7,headphones,gamepad,home,heart,headphones,'62731054','1203',ABABABAB
58322037,bulb,camera,bulb,camera,bulb,camera,bulb,camera,7,camera,heart,camera,bulb,bone,'62135407','2103',ABABABAB
60666571,gamepad,megaphone,gamepad,megaphone,gamepad,megaphone,gamepad,megaphone,7,megaphone,bulb,home,gamepad,megaphone,'15326407','0123',ABABABAB
53400896,eye,smile,eye,smile,wheat,megaphone,wheat,megaphone,7,megaphone,eye,smile,megaphone,wheat,'16543720','3201',ABABCDCD
47380407,home,megaphone,home,megaphone,headphones,camera,headphones,camera,7,camera,megaphone,home,camera,headphones,'41365027','1032',ABABCDCD
47095770,camera,heart,camera,heart,eye,smile,eye,smile,7,smile,heart,camera,eye,smile,'41563720','3210',ABABCDCD
60047167,lock,eye,lock,eye,bone,bulb,bone,bulb,7,bulb,bone,eye,lock,bulb,'46210537','0321',ABABCDCD
52629386,gamepad,smile,gamepad,wheat,gamepad,smile,gamepad,wheat,7,wheat,gamepad,wheat,smile,lock,'16072453','3210',ABACABAC
59937493,headphones,bone,headphones,heart,headphones,bone,headphones,heart,7,heart,heart,headphones,bone,megaphone,'42613750','1032',ABACABAC
43018611,bone,smile,bone,megaphone,bone,smile,bone,megaphone,7,megaphone,megaphone,bone,smile,headphones,'46503217','1032',ABACABAC
48107888,bulb,heart,bulb,headphones,bulb,heart,bulb,headphones,7,headphones,headphones,heart,wheat,bulb,'25143607','2031',ABACABAC
54164395,headphones,home,home,headphones,headphones,home,home,headphones,7,headphones,headphones,wheat,megaphone,home,'76120534','2013',ABBAABBA
45099445,home,lock,lock,home,home,lock,lock,home,7,home,home,heart,lock,bone,'31760254','1230',ABBAABBA
50002031,eye,wheat,wheat,eye,eye,wheat,wheat,eye,7,eye,wheat,eye,gamepad,heart,'72451630','1023',ABBAABBA
50023761,megaphone,gamepad,gamepad,megaphone,megaphone,gamepad,gamepad,megaphone,7,megaphone,lock,megaphone,gamepad,bone,'53162074','3102',ABBAABBA
44221522,smile,headphones,headphones,smile,gamepad,bulb,bulb,gamepad,7,gamepad,smile,bulb,headphones,gamepad,'71425360','0231',ABBACDDC
57659769,gamepad,headphones,headphones,gamepad,megaphone,smile,smile,megaphone,7,megaphone,smile,gamepad,megaphone,headphones,'70152634','2013',ABBACDDC
61900296,heart,gamepad,gamepad,heart,wheat,eye,eye,wheat,7,wheat,wheat,gamepad,eye,heart,'02735164','1032',ABBACDDC
49990190,camera,headphones,headphones,camera,gamepad,smile,smile,gamepad,7,gamepad,smile,headphones,gamepad,camera,'41350267','1032',ABBACDDC
52919528,smile,eye,eye,eye,smile,eye,eye,eye,7,eye,gamepad,heart,smile,eye,'35204617','0321',ABBBABBB
47059977,megaphone,eye,eye,eye,megaphone,eye,eye,eye,7,eye,eye,smile,bulb,megaphone,'02467153','2310',ABBBABBB
45016635,lock,smile,smile,smile,lock,smile,smile,smile,7,smile,wheat,home,lock,smile,'15463207','3120',ABBBABBB
58225216,smile,wheat,wheat,wheat,smile,wheat,wheat,wheat,7,wheat,home,smile,camera,wheat,'20746513','3201',ABBBABBB
50159898,camera,home,home,gamepad,camera,home,home,gamepad,7,gamepad,home,gamepad,eye,camera,'71645023','3102',ABBCABBC
49424161,gamepad,headphones,headphones,bulb,gamepad,headphones,headphones,bulb,7,bulb,lock,bulb,headphones,gamepad,'54612307','3102',ABBCABBC
45565067,lock,wheat,wheat,eye,lock,wheat,wheat,eye,7,eye,headphones,lock,eye,wheat,'12346570','0312',ABBCABBC
56636414,bone,headphones,headphones,home,bone,headphones,headphones,home,7,home,bone,home,headphones,camera,'51726430','1203',ABBCABBC
49165378,bulb,heart,wheat,bulb,bulb,heart,wheat,bulb,7,bulb,bone,heart,bulb,wheat,'71264530','3012',ABCAABCA
53846560,bulb,megaphone,wheat,bulb,bulb,megaphone,wheat,bulb,7,bulb,bulb,bone,megaphone,wheat,'20645317','3021',ABCAABCA
59023062,heart,camera,gamepad,heart,heart,camera,gamepad,heart,7,heart,gamepad,heart,bone,camera,'32150764','1320',ABCAABCA
48925011,lock,gamepad,camera,lock,lock,gamepad,camera,lock,7,lock,smile,gamepad,lock,camera,'21065347','2301',ABCAABCA
47090192,smile,wheat,home,home,smile,wheat,home,home,7,home,heart,wheat,home,smile,'71206543','1203',ABCCABCC
53389686,smile,headphones,home,home,smile,headphones,home,home,7,home,home,smile,megaphone,headphones,'35160274','2310',ABCCABCC
55848980,smile,wheat,eye,eye,smile,wheat,eye,eye,7,eye,wheat,gamepad,eye,smile,'45216037','0123',ABCCABCC
42333729,headphones,eye,lock,lock,headphones,eye,lock,lock,7,lock,eye,home,lock,headphones,'32147560','0231',ABCCABCC
49153274,heart,headphones,gamepad,gamepad,headphones,heart,heart,headphones,7,headphones,headphones,heart,gamepad,bulb,'53214670','2301',ABCCBAAB
46992214,megaphone,home,bulb,bulb,home,megaphone,megaphone,home,7,home,bulb,camera,home,megaphone,'61273054','1302',ABCCBAAB
58514347,lock,bulb,camera,camera,bulb,lock,lock,bulb,7,bulb,lock,camera,eye,bulb,'50726314','0312',ABCCBAAB
61859444,heart,camera,bulb,bulb,camera,heart,heart,camera,7,camera,heart,bulb,eye,camera,'52631407','3120',ABCCBAAB
46115069,heart,wheat,bulb,bone,heart,wheat,bulb,bone,7,bone,wheat,bulb,heart,bone,'36017524','0231',ABCDABCD
60738523,camera,heart,wheat,lock,camera,heart,wheat,lock,7,lock,camera,wheat,heart,lock,'43051267','1302',ABCDABCD
55195755,headphones,bone,gamepad,heart,headphones,bone,gamepad,heart,7,heart,gamepad,bone,headphones,heart,'45603217','2031',ABCDABCD
53736792,megaphone,smile,eye,headphones,megaphone,smile,eye,headphones,7,headphones,smile,headphones,megaphone,eye,'54271630','2130',ABCDABCD
51579926,camera,headphones,lock,wheat,wheat,lock,headphones,camera,7,camera,camera,wheat,headphones,lock,'74156203','3210',ABCDDCBA
50688058,megaphone,eye,home,bulb,bulb,home,eye,megaphone,7,megaphone,eye,home,bulb,megaphone,'42631570','1023',ABCDDCBA
43036540,bone,headphones,lock,home,home,lock,headphones,bone,7,bone,home,headphones,lock,bone,'26415703','1203',ABCDDCBA
55155741,lock,home,eye,gamepad,gamepad,eye,home,lock,7,lock,eye,gamepad,lock,home,'65720413','3021',ABCDDCBA
47105172,heart,bone,home,eye,camera,heart,bone,home,7,home,bone,home,camera,heart,'25760314','0321',ABCDEABC
53155437,eye,bulb,heart,bone,home,eye,bulb,heart,7,heart,heart,eye,home,bulb,'67201534','0231',ABCDEABC
53017072,heart,bulb,home,megaphone,camera,heart,bulb,home,7,home,bulb,home,heart,camera,'51267034','3201',ABCDEABC
48667636,smile,lock,headphones,home,bulb,smile,lock,headphones,7,headphones,lock,bulb,home,headphones,'30521647','2103',ABCDEABC
46612996,bone,smile,headphones,eye,home,home,eye,headphones,7,headphones,home,bone,eye,headphones,'06753214','0231',ABCDEEDC
57817840,eye,lock,bone,megaphone,bulb,bulb,megaphone,bone,7,bone,lock,eye,bulb,bone,'52067314','1023',ABCDEEDC
53853831,heart,eye,megaphone,gamepad,home,home,gamepad,megaphone,7,megaphone,eye,megaphone,heart,home,'31765024','2310',ABCDEEDC
57241175,megaphone,bulb,headphones,eye,wheat,wheat,eye,headphones,7,headphones,wheat,bulb,headphones,megaphone,'06215347','0213',ABCDEEDC
