item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
518561,hammer,hammer,hammer,heart,hammer,hammer,hammer,heart,heart,hammer,star,wheat,heart,7,16452037,3201,AAABAAAB,experiment
133839,sun,sun,sun,hammer,sun,sun,sun,hammer,hammer,sun,truck,pyramid,hammer,7,64123750,2130,AAABAAAB,experiment
95482,bell,bell,bell,eye,bell,bell,bell,eye,eye,bell,star,heart,eye,7,26457301,3102,AAABAAAB,experiment
246775,bell,bell,bell,key,bell,bell,bell,key,hammer,star,key,bell,key,7,07153462,1302,AAABAAAB,experiment
307237,smile,smile,smile,truck,smile,smile,smile,truck,carrot,sun,smile,truck,truck,7,26501473,0231,AAABAAAB,experiment
642586,carrot,carrot,carrot,star,carrot,carrot,carrot,star,carrot,pyramid,star,smile,star,7,63107524,0321,AAABAAAB,experiment
240853,hammer,hammer,hammer,key,hammer,hammer,hammer,key,key,star,hammer,bell,key,7,43265107,2130,AAABAAAB,experiment
556869,smile,smile,smile,wheat,smile,smile,smile,wheat,wheat,helicopter,smile,hammer,wheat,7,16074532,1302,AAABAAAB,experiment
558632,helicopter,helicopter,helicopter,eye,helicopter,helicopter,helicopter,eye,sun,star,helicopter,eye,eye,7,35126470,2130,AAABAAAB,experiment
66880,cube,cube,cube,sun,cube,cube,cube,sun,cube,sun,guitar,carrot,sun,7,51274603,0132,AAABAAAB,experiment
359832,hammer,truck,hammer,truck,guitar,helicopter,guitar,helicopter,hammer,helicopter,truck,guitar,helicopter,7,50647312,3012,ABABCDCD,experiment
307853,helicopter,eye,helicopter,eye,pyramid,bell,pyramid,bell,helicopter,eye,pyramid,bell,bell,7,23150467,3201,ABABCDCD,experiment
427739,bell,eye,bell,eye,bulb,heart,bulb,heart,heart,bulb,bell,eye,heart,7,04562371,0231,ABABCDCD,experiment
498742,smile,bell,smile,bell,star,pyramid,star,pyramid,pyramid,star,bell,smile,pyramid,7,23641057,1230,ABABCDCD,experiment
143397,bell,star,bell,star,hammer,bulb,hammer,bulb,bulb,star,bell,hammer,bulb,7,47605312,3210,ABABCDCD,experiment
549282,wheat,eye,wheat,eye,bulb,sun,bulb,sun,wheat,bulb,eye,sun,sun,7,20741536,1203,ABABCDCD,experiment
359745,bulb,smile,bulb,smile,star,heart,star,heart,bulb,heart,smile,star,heart,7,17652034,0231,ABABCDCD,experiment
374537,smile,sun,smile,sun,carrot,guitar,carrot,guitar,smile,guitar,carrot,sun,guitar,7,16730452,0231,ABABCDCD,experiment
515393,helicopter,cube,helicopter,cube,bulb,star,bulb,star,bulb,cube,star,helicopter,star,7,14705632,3201,ABABCDCD,experiment
80933,pyramid,wheat,pyramid,wheat,carrot,heart,carrot,heart,carrot,wheat,heart,pyramid,heart,7,57146032,3021,ABABCDCD,experiment
494834,star,heart,heart,star,star,heart,heart,star,heart,carrot,star,helicopter,star,7,06153247,2310,ABBAABBA,experiment
321661,hammer,pyramid,pyramid,hammer,hammer,pyramid,pyramid,hammer,truck,pyramid,guitar,hammer,hammer,7,16375042,2130,ABBAABBA,experiment
35561,hammer,wheat,wheat,hammer,hammer,wheat,wheat,hammer,star,hammer,wheat,bulb,hammer,7,13426507,0231,ABBAABBA,experiment
161394,sun,pyramid,pyramid,sun,sun,pyramid,pyramid,sun,wheat,pyramid,sun,cube,sun,7,72031546,0213,ABBAABBA,experiment
601056,helicopter,pyramid,pyramid,helicopter,helicopter,pyramid,pyramid,helicopter,pyramid,sun,star,helicopter,helicopter,7,40175326,1032,ABBAABBA,experiment
624848,eye,star,star,eye,eye,star,star,eye,eye,star,bell,smile,eye,7,32057641,2103,ABBAABBA,experiment
227614,smile,wheat,wheat,smile,smile,wheat,wheat,smile,wheat,smile,key,pyramid,smile,7,45730261,0123,ABBAABBA,experiment
378567,key,wheat,wheat,key,key,wheat,wheat,key,key,pyramid,bell,wheat,key,7,37146250,0213,ABBAABBA,experiment
488423,truck,pyramid,pyramid,truck,truck,pyramid,pyramid,truck,carrot,truck,pyramid,sun,truck,7,75204361,0123,ABBAABBA,experiment
516742,pyramid,smile,smile,pyramid,pyramid,smile,smile,pyramid,pyramid,key,smile,sun,pyramid,7,74301256,1230,ABBAABBA,experiment
176654,star,key,key,star,pyramid,truck,pyramid,truck,key,star,pyramid,truck,truck,7,32456071,2103,ABBACDCD,experiment
74313,guitar,hammer,hammer,guitar,cube,bell,cube,bell,hammer,cube,guitar,bell,bell,7,20746153,0231,ABBACDCD,experiment
468301,carrot,bell,bell,carrot,smile,key,smile,key,bell,smile,carrot,key,key,7,16573204,1302,ABBACDCD,experiment
220431,truck,bell,bell,truck,cube,eye,cube,eye,cube,eye,truck,bell,eye,7,40321576,3021,ABBACDCD,experiment
240516,key,carrot,carrot,key,guitar,pyramid,guitar,pyramid,pyramid,guitar,key,carrot,pyramid,7,12543607,2013,ABBACDCD,experiment
215686,sun,smile,smile,sun,cube,helicopter,cube,helicopter,helicopter,sun,smile,cube,helicopter,7,15674302,0231,ABBACDCD,experiment
29345,bell,hammer,hammer,bell,heart,smile,heart,smile,bell,heart,hammer,smile,smile,7,74602315,2013,ABBACDCD,experiment
330387,sun,helicopter,helicopter,sun,heart,star,heart,star,heart,helicopter,star,sun,star,7,46127350,1230,ABBACDCD,experiment
54512,cube,bell,bell,cube,key,heart,key,heart,cube,bell,key,heart,heart,7,53461720,1203,ABBACDCD,experiment
365191,wheat,bell,bell,wheat,truck,cube,truck,cube,bell,cube,wheat,truck,cube,7,42761305,1302,ABBACDCD,experiment
2703,pyramid,heart,heart,hammer,pyramid,heart,heart,hammer,pyramid,hammer,heart,truck,hammer,7,24157036,3102,ABBCABBC,experiment
500288,bell,sun,sun,truck,bell,sun,sun,truck,truck,star,bell,sun,truck,7,34751026,0321,ABBCABBC,experiment
529731,key,star,star,pyramid,key,star,star,pyramid,bell,key,pyramid,star,pyramid,7,30451726,1320,ABBCABBC,experiment
140491,bulb,bell,bell,sun,bulb,bell,bell,sun,eye,bulb,bell,sun,sun,7,06274315,1320,ABBCABBC,experiment
370363,key,bulb,bulb,star,key,bulb,bulb,star,bulb,key,star,guitar,star,7,04523176,0213,ABBCABBC,experiment
574872,pyramid,wheat,wheat,guitar,pyramid,wheat,wheat,guitar,sun,guitar,pyramid,wheat,guitar,7,62104573,3120,ABBCABBC,experiment
451610,key,smile,smile,hammer,key,smile,smile,hammer,hammer,smile,key,helicopter,hammer,7,10743256,3201,ABBCABBC,experiment
139494,carrot,sun,sun,smile,carrot,sun,sun,smile,guitar,smile,sun,carrot,smile,7,34170652,1230,ABBCABBC,experiment
575141,helicopter,pyramid,pyramid,truck,helicopter,pyramid,pyramid,truck,helicopter,pyramid,truck,sun,truck,7,06245731,2301,ABBCABBC,experiment
59379,sun,wheat,wheat,heart,sun,wheat,wheat,heart,truck,wheat,heart,sun,heart,7,27315046,3210,ABBCABBC,experiment
80372,helicopter,heart,smile,helicopter,helicopter,heart,smile,helicopter,key,helicopter,smile,heart,helicopter,7,53760214,3012,ABCAABCA,experiment
426733,wheat,bell,key,wheat,wheat,bell,key,wheat,guitar,bell,wheat,key,wheat,7,71452063,1023,ABCAABCA,experiment
598079,pyramid,hammer,star,pyramid,pyramid,hammer,star,pyramid,star,hammer,pyramid,sun,pyramid,7,34615027,0231,ABCAABCA,experiment
317441,helicopter,carrot,key,helicopter,helicopter,carrot,key,helicopter,helicopter,carrot,key,pyramid,helicopter,7,14023765,1230,ABCAABCA,experiment
544120,bulb,carrot,star,bulb,bulb,carrot,star,bulb,star,bulb,carrot,pyramid,bulb,7,60725314,3201,ABCAABCA,experiment
222089,pyramid,key,eye,pyramid,pyramid,key,eye,pyramid,hammer,eye,pyramid,key,pyramid,7,65374102,2130,ABCAABCA,experiment
577335,sun,bell,star,sun,sun,bell,star,sun,wheat,bell,sun,star,sun,7,27451036,1203,ABCAABCA,experiment
610590,carrot,heart,key,carrot,carrot,heart,key,carrot,heart,carrot,eye,key,carrot,7,56401273,0213,ABCAABCA,experiment
659315,cube,wheat,truck,cube,cube,wheat,truck,cube,truck,cube,wheat,heart,cube,7,34562107,2013,ABCAABCA,experiment
238733,pyramid,bulb,carrot,pyramid,pyramid,bulb,carrot,pyramid,pyramid,helicopter,carrot,bulb,pyramid,7,26457130,2130,ABCAABCA,experiment
615634,eye,pyramid,guitar,hammer,hammer,guitar,pyramid,eye,hammer,guitar,pyramid,eye,eye,7,42365107,3102,ABCDDCBA,experiment
271082,star,sun,bell,cube,cube,bell,sun,star,bell,star,cube,sun,star,7,03741625,0132,ABCDDCBA,experiment
219163,smile,sun,guitar,cube,cube,guitar,sun,smile,cube,sun,smile,guitar,smile,7,24561073,2310,ABCDDCBA,experiment
273998,key,wheat,heart,bulb,bulb,heart,wheat,key,heart,key,bulb,wheat,key,7,54637102,0321,ABCDDCBA,experiment
334019,hammer,key,bell,smile,smile,bell,key,hammer,smile,key,hammer,bell,hammer,7,41370625,0321,ABCDDCBA,experiment
422780,guitar,wheat,pyramid,truck,truck,pyramid,wheat,guitar,wheat,truck,pyramid,guitar,guitar,7,02564713,1230,ABCDDCBA,experiment
138943,key,truck,wheat,bell,bell,wheat,truck,key,bell,key,wheat,truck,key,7,76153420,0132,ABCDDCBA,experiment
484733,key,carrot,wheat,pyramid,pyramid,wheat,carrot,key,wheat,key,pyramid,carrot,key,7,05127364,3210,ABCDDCBA,experiment
589607,smile,truck,star,bell,bell,star,truck,smile,star,smile,bell,truck,smile,7,52761304,3021,ABCDDCBA,experiment
405720,eye,truck,star,pyramid,pyramid,star,truck,eye,star,truck,pyramid,eye,eye,7,51723604,2013,ABCDDCBA,experiment
431075,sun,star,guitar,cube,carrot,carrot,cube,guitar,carrot,sun,guitar,star,guitar,7,60514372,0312,ABCDEEDC,experiment
26334,eye,helicopter,cube,truck,star,star,truck,cube,cube,star,helicopter,eye,cube,7,61723405,3012,ABCDEEDC,experiment
659321,guitar,cube,pyramid,smile,sun,sun,smile,pyramid,pyramid,smile,cube,guitar,pyramid,7,10732645,0321,ABCDEEDC,experiment
154052,helicopter,heart,wheat,bulb,carrot,carrot,bulb,wheat,wheat,bulb,helicopter,heart,wheat,7,50372461,1032,ABCDEEDC,experiment
375032,hammer,wheat,eye,star,truck,truck,star,eye,star,wheat,truck,eye,eye,7,63240715,1032,ABCDEEDC,experiment
257568,truck,wheat,cube,star,eye,eye,star,cube,truck,eye,cube,wheat,cube,7,31065247,1203,ABCDEEDC,experiment
330820,helicopter,hammer,heart,star,carrot,carrot,star,heart,carrot,hammer,heart,helicopter,heart,7,74652013,1203,ABCDEEDC,experiment
427525,truck,smile,heart,eye,wheat,wheat,eye,heart,smile,wheat,eye,heart,heart,7,05641327,2301,ABCDEEDC,experiment
87196,wheat,guitar,carrot,key,pyramid,pyramid,key,carrot,carrot,key,guitar,wheat,carrot,7,61023574,3210,ABCDEEDC,experiment
345346,sun,cube,bulb,smile,wheat,wheat,smile,bulb,smile,bulb,cube,wheat,bulb,7,07652143,2310,ABCDEEDC,experiment
