item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
330979,cube,cube,cube,star,cube,cube,cube,star,star,cube,bell,hammer,star,7,05134276,1320,AAABAAAB
4926,star,star,star,sun,star,star,star,sun,star,guitar,sun,wheat,sun,7,34561027,0123,AAABAAAB
46351,helicopter,helicopter,helicopter,sun,helicopter,helicopter,helicopter,sun,sun,carrot,helicopter,truck,sun,7,40752613,0312,AAABAAAB
583318,key,key,key,guitar,key,key,key,guitar,guitar,key,smile,hammer,guitar,7,47250361,1302,AAABAAAB
147463,star,star,star,pyramid,star,star,star,pyramid,star,guitar,smile,pyramid,pyramid,7,57346201,2031,AAABAAAB
68813,key,key,key,smile,key,key,key,smile,key,eye,smile,hammer,smile,7,65234071,3021,AAABAAAB
186354,heart,heart,heart,helicopter,heart,heart,heart,helicopter,heart,bulb,wheat,helicopter,helicopter,7,76243105,1032,AAABAAAB
499809,pyramid,pyramid,pyramid,smile,pyramid,pyramid,pyramid,smile,smile,star,wheat,pyramid,smile,7,06152347,2013,AAABAAAB
502820,helicopter,helicopter,helicopter,carrot,helicopter,helicopter,helicopter,carrot,carrot,hammer,helicopter,key,carrot,7,60135742,3120,AAABAAAB
487946,bulb,bulb,bulb,smile,bulb,bulb,bulb,smile,eye,guitar,smile,bulb,smile,7,50746321,0132,AAABAAAB
224680,eye,truck,eye,truck,wheat,cube,wheat,cube,truck,cube,eye,wheat,cube,7,17540362,3012,ABABCDCD
314247,bulb,wheat,bulb,wheat,carrot,guitar,carrot,guitar,guitar,bulb,carrot,wheat,guitar,7,62741530,1230,ABABCDCD
298122,pyramid,hammer,pyramid,hammer,bell,truck,bell,truck,truck,hammer,bell,pyramid,truck,7,73146250,0132,ABABCDCD
444258,sun,bell,sun,bell,smile,cube,smile,cube,bell,cube,smile,sun,cube,7,74210635,2013,ABABCDCD
454451,hammer,carrot,hammer,carrot,sun,heart,sun,heart,hammer,carrot,heart,sun,heart,7,14725630,1203,ABABCDCD
4008,truck,hammer,truck,hammer,wheat,eye,wheat,eye,wheat,hammer,eye,truck,eye,7,63247501,2130,ABABCDCD
270853,eye,carrot,eye,carrot,cube,wheat,cube,wheat,cube,wheat,eye,carrot,wheat,7,32167504,2130,ABABCDCD
223015,truck,heart,truck,heart,bulb,wheat,bulb,wheat,bulb,truck,heart,wheat,wheat,7,13475062,1230,ABABCDCD
592582,hammer,pyramid,hammer,pyramid,bulb,truck,bulb,truck,bulb,hammer,truck,pyramid,truck,7,74503261,3102,ABABCDCD
184535,pyramid,wheat,pyramid,wheat,key,truck,key,truck,wheat,pyramid,truck,key,truck,7,36502471,2130,ABABCDCD
611229,cube,smile,smile,cube,cube,smile,smile,cube,hammer,cube,smile,heart,cube,7,43256017,0231,ABBAABBA
635471,sun,carrot,carrot,sun,sun,carrot,carrot,sun,helicopter,wheat,carrot,sun,sun,7,64320517,0132,ABBAABBA
417101,pyramid,bulb,bulb,pyramid,pyramid,bulb,bulb,pyramid,pyramid,bulb,sun,truck,pyramid,7,52061374,0213,ABBAABBA
616361,smile,helicopter,helicopter,smile,smile,helicopter,helicopter,smile,smile,cube,helicopter,carrot,smile,7,42635107,2301,ABBAABBA
574480,bell,bulb,bulb,bell,bell,bulb,bulb,bell,helicopter,key,bulb,bell,bell,7,72605341,3021,ABBAABBA
248660,star,carrot,carrot,star,star,carrot,carrot,star,carrot,bell,star,pyramid,star,7,63705214,3102,ABBAABBA
454558,key,cube,cube,key,key,cube,cube,key,key,hammer,wheat,cube,key,7,43267015,3201,ABBAABBA
