item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
422632,bulb,bulb,bulb,eye,bulb,bulb,bulb,eye,eye,pyramid,bulb,heart,eye,7,52013746,2310,AAABAAAB
526544,truck,truck,truck,carrot,truck,truck,truck,carrot,eye,truck,carrot,bell,carrot,7,15430672,2103,AAABAAAB
139174,guitar,guitar,guitar,bulb,guitar,guitar,guitar,bulb,truck,sun,bulb,guitar,bulb,7,16425037,3210,AAABAAAB
661646,helicopter,helicopter,helicopter,pyramid,helicopter,helicopter,helicopter,pyramid,heart,cube,helicopter,pyramid,pyramid,7,16247530,2013,AAABAAAB
246775,bell,bell,bell,key,bell,bell,bell,key,bell,key,cube,pyramid,key,7,34610257,1032,AAABAAAB
287201,cube,cube,cube,guitar,cube,cube,cube,guitar,cube,wheat,guitar,star,guitar,7,14036572,0132,AAABAAAB
426432,helicopter,helicopter,helicopter,smile,helicopter,helicopter,helicopter,smile,helicopter,guitar,smile,cube,smile,7,23714506,1230,AAABAAAB
443696,bell,bell,bell,guitar,bell,bell,bell,guitar,hammer,guitar,cube,bell,guitar,7,12457306,2013,AAABAAAB
540041,hammer,hammer,hammer,eye,hammer,hammer,hammer,eye,eye,hammer,guitar,pyramid,eye,7,34615207,3012,AAABAAAB
13656,wheat,wheat,wheat,cube,wheat,wheat,wheat,cube,wheat,truck,cube,helicopter,cube,7,50641273,1032,AAABAAAB
406832,guitar,key,guitar,key,hammer,smile,hammer,smile,smile,key,guitar,hammer,smile,7,03614752,0123,ABABCDCD
435907,eye,bell,eye,bell,hammer,cube,hammer,cube,cube,eye,bell,hammer,cube,7,43210657,3201,ABABCDCD
538768,bulb,bell,bulb,bell,key,sun,key,sun,bulb,bell,sun,key,sun,7,73265401,3210,ABABCDCD
590421,bell,truck,bell,truck,carrot,cube,carrot,cube,cube,carrot,bell,truck,cube,7,32016475,0123,ABABCDCD
492326,wheat,carrot,wheat,carrot,truck,heart,truck,heart,truck,heart,carrot,wheat,heart,7,04713625,1023,ABABCDCD
3028,smile,pyramid,smile,pyramid,sun,truck,sun,truck,smile,pyramid,sun,truck,truck,7,23564107,0231,ABABCDCD
221644,heart,star,heart,star,key,sun,key,sun,star,heart,key,sun,sun,7,67053421,0132,ABABCDCD
470936,star,smile,star,smile,bulb,carrot,bulb,carrot,star,smile,carrot,bulb,carrot,7,42735061,0321,ABABCDCD
466106,smile,truck,smile,truck,eye,key,eye,key,smile,key,truck,eye,key,7,40613275,1203,ABABCDCD
536349,key,pyramid,key,pyramid,sun,star,sun,star,pyramid,key,star,sun,star,7,46025173,3012,ABABCDCD
164405,carrot,truck,truck,carrot,carrot,truck,truck,carrot,smile,hammer,truck,carrot,carrot,7,05367214,0231,ABBAABBA
69154,pyramid,heart,heart,pyramid,pyramid,heart,heart,pyramid,pyramid,heart,eye,carrot,pyramid,7,76503241,3012,ABBAABBA
176188,carrot,bell,bell,carrot,carrot,bell,bell,carrot,bell,cube,key,carrot,carrot,7,57264301,1032,ABBAABBA
454527,bell,star,star,bell,bell,star,star,bell,eye,smile,star,bell,bell,7,54231607,3120,ABBAABBA
557905,heart,key,key,heart,heart,key,key,heart,key,guitar,heart,helicopter,heart,7,35067214,2103,ABBAABBA
